Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Univer City. Город возможностей»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Универ Сити жилой комплекс",Новостройка,Студия,"25,51 ",Шушары,18 ,4 650 026 ,14.10
ЖК «Парадный ансамбль»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, Пулковское ш., 99к6",Новостройка,Студия,"26,72 ",Шушары,16 ,4 650 100 ,14.10
ЖК «Парадный ансамбль»,"Санкт-Петербург, р-н Московский, Пулковский меридиан, Парадный ансамбль жилой комплекс",Новостройка,Студия,"27,24 ",Шушары,15 ,4 650 017 ,14.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"35,96 ",Шушары,16 ,4 694 937 ,09.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Пулковское территория",Новостройка,Студия,"25,05 ",Звездная,13 ,4 694 020 ,13.10
ЖК «Univer City. Город возможностей»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Детскосельский территория, ш. Колпинское, 127",Новостройка,Студия,"25,6 ",Шушары,17 ,4 650 112 ,13.10
ЖК «Zoom Черная Речка (Зум Черная Речка)»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Коломяжский просп., 4",Новостройка Апартаменты,Апартаменты-студия,"21,09 ",Черная речка,11 ,4 684 194 ,06.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Архитектора Данини, 23к1",Новостройка,Студия,"24,91 ",Шушары,28 ,4 686 542 ,12.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Архитектора Данини, 23к2",Новостройка,Студия,"24,91 ",Шушары,28 ,4 686 542 ,12.10
ЖК «UP-квартал Пушкинский»,"Санкт-Петербург, р-н Пушкинский, мкр. Пушкин, ул. Камероновская, 22",Новостройка,Студия,"26,26 ",Шушары,28 ,4 694 106 ,12.10
ЖК «UP-квартал Новый Московский»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Ап-квартал Новый Московский жилой комплекс",Новостройка,1-комн. квартира,"35,35 ",Шушары,16 ,4 735 486 ,12.10
ЖК «Тайм Сквер»,"Санкт-Петербург, р-н Приморский, Юнтолово, Тайм Сквер жилой комплекс",Новостройка,Студия,"20,5 ",Комендантский проспект,11 ,4 748 987 ,12.10
ЖК «Аэросити 4»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Жилой Аэросити 4 квартал",Новостройка,1-комн. квартира,"33,37 ",Купчино,7 ,4 705 170 ,11.10
ЖК «Апарт-отель Начало»,"Санкт-Петербург, р-н Невский, Рыбацкое, Петр Великий и Екатерина Великая жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"24,75 ",Ломоносовская,21 ,4 700 000 ,07.10
ЖК «Астрид»,"Санкт-Петербург, р-н Колпинский, мкр. Колпино, Астрид жилой комплекс, 10",Новостройка,Студия,"23,76 ",Рыбацкое,18 ,4 785 000 ,15.10
ЖК «Chkalov (Чкалов)»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Чкалов жилой комплекс",Новостройка,Студия,"22,9 ",Купчино,9 ,4 773 133 ,15.10
,"Санкт-Петербург, р-н Приморский, Чёрная речка, Коломяжский просп., 4",Новостройка Апартаменты,Апартаменты-студия,"22,79 ",Черная речка,11 ,4 788 634 ,15.10
ЖК «Вольта»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, просп. Энергетиков, 6к2",Новостройка Апартаменты,Апартаменты-студия,"21,38 ",Ладожская,9 ,4 797 864 ,13.10
ЖК «Образцовый квартал 13»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, Образцовый Квартал 13 жилой комплекс",Новостройка,1-комн. квартира,"23,91 ",Купчино,16 ,4 763 190 ,10.10
ЖК «Zoom на Неве (Зум на Неве)»,"Санкт-Петербург, р-н Невский, Невский, Зум на Неве жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"29,36 ",Улица Дыбенко,5 ,4 770 838 ,09.10
,"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, ул. Строителей, 3к2",Новостройка,Студия,"29,8 ",,,4 768 000 ,11.09
