Name complex,Geo,State of house,Rooms amount,"Squares,м²",Metro,"Time to metro,мин.","Price,₽",Data
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,3-комн. квартира,104 ,Балтийская,9 ,31 990 000 ,12.10
"ЖК «Московский, 65»","Санкт-Петербург, р-н Адмиралтейский, Измайловское, наб. Обводного Канала, 106",Новостройка,3-комн. квартира,"126,42 ",Фрунзенская,2 ,45 990 000 ,15.10
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,1-комн. квартира,39 ,Балтийская,9 ,16 500 001 ,28.09
ЖК «Клубный дом MELTZER HALL (МЕЛЬЦЕР ХОЛЛ)»,"Санкт-Петербург, р-н Петроградский, Аптекарский остров, наб. Реки Карповки, 27",Новостройка,1-комн. квартира,"46,8 ",Петроградская,5 ,21 000 000 ,13.10
ЖК «Созидатели»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 12-я Красноармейская ул., 26",Новостройка,2-комн. квартира,"77,5 ",Балтийская,9 ,28 994 115 ,14.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, просп. Авиаконструкторов, 69",Новостройка,Студия,"25,13 ",Комендантский проспект,11 ,5 300 000 ,13.10
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,Студия,"28,7 ",Приморская,4 ,8 843 388 ,14.10
ЖК «FoRest Аквилон (Форест Аквилон)»,"Санкт-Петербург, р-н Приморский, Юнтолово, Глухарская ул.",Новостройка,Студия,"24,1 ",Удельная,10 ,4 300 000 ,23.09
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,1-комн. квартира,"35,4 ",Приморская,4 ,10 887 907 ,14.10
ЖК «ЦДС Черная речка»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Белоостровская ул.",Новостройка,1-комн. квартира,"38,93 ",Лесная,15 ,9 700 000 ,11.10
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,2-комн. квартира,"59,2 ",Приморская,4 ,16 143 484 ,14.10
ЖК «ЦДС Dreamline (Дримлайн)»,"Санкт-Петербург, р-н Приморский, Коломяги, Парашютная ул.",Новостройка,Студия,"23,22 ",Озерки,7 ,5 600 000 ,24.09
ЖК «Futurist (Футурист)»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Барочная ул., 6",Новостройка,1-комн. квартира,"53,3 ",Чкаловская,10 ,30 132 838 ,11.10
ЖК «ID Moskovskiy (Ай ди Московский)»,"Санкт-Петербург, р-н Московский, Московская застава, Московский просп.",Новостройка,1-комн. квартира,"41,3 ",Фрунзенская,2 ,16 450 000 ,15.10
ЖК «Шкиперский 19»,"Санкт-Петербург, р-н Василеостровский, Гавань, Шкиперский 19 жилой комплекс, 1",Новостройка,3-комн. квартира,"89,1 ",Приморская,4 ,25 578 471 ,14.10
ЖК «Полис Приморский 2»,"Санкт-Петербург, р-н Приморский, Юнтолово, Полис Приморский 2 жилой комплекс",Новостройка,Студия,"23,27 ",Комендантский проспект,10 ,4 200 000 ,10.10
ЖК «Миръ»,"Санкт-Петербург, р-н Центральный, Лиговка-Ямская",Новостройка,Студия,"37,6 ",Площадь Восстания,13 ,17 346 553 ,14.10
ЖК «Листва»,"Санкт-Петербург, р-н Выборгский, Светлановское, Лиственная ул., 22аЕ",Новостройка,2-комн. квартира,"62,4 ",Политехническая,6 ,16 450 000 ,05.10
ЖК «Миръ»,"Санкт-Петербург, р-н Центральный, Лиговка-Ямская",Новостройка,1-комн. квартира,"47,5 ",Площадь Восстания,13 ,18 800 000 ,15.10
ЖК «Parkolovo (Парколово)»,"Санкт-Петербург, р-н Выборгский, мкр. Парголово, дор. Михайловская",Новостройка,1-комн. квартира,"36,99 ",Парнас,8 ,5 700 000 ,26.09
ЖК «Квартал Галактика»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, бул. Измайловский, 9",Новостройка,Студия,"32,8 ",Фрунзенская,15 ,10 182 068 ,14.10
ЖК «Полис Приморский 2»,"Санкт-Петербург, р-н Приморский, Юнтолово, Полис Приморский 2 жилой комплекс",Новостройка,Студия,"23,38 ",Комендантский проспект,10 ,4 500 000 ,10.10
ЖК «Апарт-отель GloraX Заневский»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, пер. Уткин",Новостройка Апартаменты,Апартаменты-студия,"29,62 ",Ладожская,5 ,7 129 999 ,14.10
ЖК «Цветной Город»,"Санкт-Петербург, р-н Красногвардейский, Полюстрово, ул. Чарушинская, 24к1",Новостройка,Студия,"25,5 ",Девяткино,12 ,4 295 000 ,11.10
ЖК «Апарт-отель ARTSTUDIO М103»,"Санкт-Петербург, р-н Московский, Московская застава, Московский просп., 103к6Й",Новостройка Апартаменты,Апартаменты-студия,"27,3 ",Московские ворота,5 ,9 000 000 ,07.10
ЖК «Морская набережная»,"Санкт-Петербург, р-н Василеостровский, Гавань, бул. Головнина",Новостройка,3-комн. квартира,"56,99 ",Василеостровская,10 ,13 440 000 ,12.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,Студия,"31,55 ",Зенит,5 ,9 159 999 ,06.10
ЖК «БелАрт»,"Санкт-Петербург, р-н Выборгский, Сампсониевское, Полюстровский просп., 72",Новостройка,1-комн. квартира,"36,89 ",Лесная,14 ,10 270 000 ,12.10
ЖК «Болконский»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, 11-я Красноармейская ул., 11с3",Новостройка,1-комн. квартира,"52,5 ",Балтийская,9 ,23 990 000 ,06.10
ЖК «Московские ворота II»,"Санкт-Петербург, р-н Московский, Московская застава, ул. Парфеновская, 17",Новостройка,2-комн. квартира,"66,3 ",Московские ворота,6 ,16 699 000 ,13.10
ЖК «Квартал Галактика»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, бул. Измайловский, 9",Новостройка,1-комн. квартира,"36,4 ",Фрунзенская,15 ,11 250 000 ,15.10
ЖК «Апарт-отель Well (Апарт-отель Велл)»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, бул. Измайловский, 1к2",Новостройка Апартаменты,Апартаменты-студия,"19,95 ",Балтийская,8 ,6 650 000 ,13.10
ЖК «Futurist (Футурист)»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Барочная ул., 6",Новостройка,2-комн. квартира,"78,4 ",Чкаловская,11 ,48 700 000 ,03.10
ЖК «Морская набережная»,"Санкт-Петербург, р-н Василеостровский, Гавань, Морская Набережная жилой комплекс",Новостройка,2-комн. квартира,"42,7 ",Приморская,4 ,11 400 000 ,10.10
ЖК «Сампсониевский 32»,"Санкт-Петербург, р-н Выборгский, Сампсониевское",Новостройка,1-комн. квартира,"38,65 ",Выборгская,10 ,15 073 500 ,15.10
ЖК «iD Park Pobedy (Ай ди Парк Победы)»,"Санкт-Петербург, р-н Московский, Московская застава, ул. Решетникова, 29",Новостройка,2-комн. квартира,"59,3 ",Электросила,17 ,15 500 000 ,11.10
ЖК «Akzent (Акцент)»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, ул. Помяловского",Новостройка,1-комн. квартира,"51,29 ",Новочеркасская,14 ,19 698 829 ,13.10
ЖК «Магеллан (Гавань Капитанов)»,"Санкт-Петербург, р-н Василеостровский, Морской, Морская наб., 14соор1С",Новостройка,2-комн. квартира,"61,62 ",Приморская,33 ,11 999 000 ,06.10
ЖК «Миръ»,"Санкт-Петербург, р-н Центральный, Лиговка-Ямская",Новостройка,2-комн. квартира,"80,2 ",Площадь Восстания,13 ,25 500 000 ,15.10
ЖК «Про.Молодость (Апартаменты Про.Молодость)»,"Санкт-Петербург, р-н Невский, № 54, просп. Большевиков",Новостройка Апартаменты,3-комн. апартаменты,"61,35 ",,,7 999 999 ,13.10
ЖК «Квартал Галактика»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, бул. Измайловский, 11",Новостройка,2-комн. квартира,"54,9 ",Московские ворота,15 ,16 226 511 ,15.10
ЖК «Domino (Домино)»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Белоостровская ул., 28",Новостройка,2-комн. квартира,"68,8 ",Черная речка,10 ,20 500 000 ,13.10
ЖК «Futurist (Футурист)»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Барочная ул., 6",Новостройка,3-комн. квартира,"133,1 ",Чкаловская,12 ,66 822 117 ,13.10
ЖК «БелАрт»,"Санкт-Петербург, р-н Калининский, Финляндский, Полюстровский просп.",Новостройка,Студия,"30,37 ",Лесная,13 ,7 300 000 ,13.10
ЖК «Миръ»,"Санкт-Петербург, р-н Центральный, Лиговка-Ямская",Новостройка,4-комн. квартира,"127,3 ",Площадь Восстания,13 ,60 496 512 ,15.10
ЖК «iD Park Pobedy (Ай ди Парк Победы)»,"Санкт-Петербург, р-н Московский, Московская застава, АйДи Парк Победы жилой комплекс",Новостройка,4-комн. квартира,"85,09 ",Электросила,20 ,23 500 000 ,11.10
ЖК «Amo (Амо)»,"Санкт-Петербург, р-н Василеостровский, Васильевский, 12-я Васильевского острова линия, 41к1Ж",Новостройка,1-комн. квартира,"39,66 ",Василеостровская,8 ,16 092 282 ,15.10
ЖК «Морская набережная. SeaView»,"Санкт-Петербург, р-н Василеостровский, Гавань, наб. Миклухо-Маклая, 1к1",Новостройка,2-комн. квартира,"65,85 ",Приморская,15 ,15 000 000 ,15.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,4-комн. квартира,"101,8 ",Приморская,10 ,47 939 999 ,15.10
ЖК «Аквилон ZALIVE (Аквилон ЗАЛИВ)»,"Санкт-Петербург, р-н Василеостровский, Гавань, Аквилон Залив жилой комплекс",Новостройка,1-комн. квартира,"33,65 ",Приморская,13 ,8 700 000 ,13.10
ЖК «Лермонтовский 54»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, Лермонтовский 54 жилой комплекс",Новостройка,Студия,"21,2 ",Балтийская,4 ,8 356 531 ,14.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, Комендантский просп.",Новостройка,1-комн. квартира,"38,05 ",Комендантский проспект,6 ,7 050 000 ,13.10
ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, Bereg Курортный жилой комплекс",Новостройка Апартаменты,Апартаменты-студия,"25,58 ",Беговая,27 ,9 153 803 ,13.10
ЖК «Живи! в Рыбацком»,"Санкт-Петербург, р-н Невский, Рыбацкое, Живи в Рыбацком жилой комплекс, к73",Новостройка,2-комн. квартира,"58,3 ",Рыбацкое,4 ,9 899 999 ,06.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,1-комн. квартира,"37,51 ",Зенит,5 ,11 289 999 ,15.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, ул. Верхне-Каменская, 11к1",Новостройка,1-комн. квартира,"33,5 ",Комендантский проспект,9 ,6 620 000 ,10.10
ЖК «GloraX Василеостровский»,"Санкт-Петербург, р-н Василеостровский, Морской, Невская Губа территория",Новостройка,Студия,"26,28 ",Приморская,6 ,8 129 999 ,02.10
ЖК «БелАрт»,"Санкт-Петербург, р-н Калининский, Финляндский, Полюстровский просп.",Новостройка,2-комн. квартира,"53,1 ",Лесная,18 ,12 099 999 ,06.10
ЖК «Апарт-отель GloraX Заневский»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, пер. Уткин",Новостройка Апартаменты,1-комн. апартаменты,"46,3 ",Ладожская,5 ,10 859 999 ,13.10
ЖК «Авторский дом Tesoro by Akvilon (Тесоро от Аквилон)»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Лодейнопольская ул., 7",Новостройка,2-комн. квартира,"66,7 ",Чкаловская,5 ,24 850 000 ,14.10
ЖК «Миръ»,"Санкт-Петербург, р-н Центральный, Лиговка-Ямская",Новостройка,3-комн. квартира,"107,2 ",Площадь Восстания,13 ,41 346 408 ,14.10
ЖК «Про.Молодость (Апартаменты Про.Молодость)»,"Санкт-Петербург, р-н Невский, № 54, просп. Большевиков, 22К1",Новостройка Апартаменты,Апартаменты-студия,"22,86 ",Улица Дыбенко,7 ,2 950 000 ,13.10
ЖК «Новоорловский»,"Санкт-Петербург, р-н Приморский, Коломяги, ш. Суздальское, 22к2",Новостройка,Студия,"25,7 ",Проспект Просвещения,5 ,6 420 661 ,15.10
ЖК «Любоград»,"Санкт-Петербург, р-н Красносельский, Константиновское, Сергиево территория, ш. Красносельское",Новостройка,1-комн. квартира,"34,5 ",Проспект Ветеранов,18 ,6 500 000 ,12.10
ЖК «Апарт-отель ARTSTUDIO Moskovsky (Артстудио Московский)»,"Санкт-Петербург, р-н Московский, Московская застава, Заозерная ул., 3к3",Новостройка Апартаменты,Апартаменты-студия,"34,4 ",Фрунзенская,7 ,8 700 000 ,14.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, ул. Верхне-Каменская, 11к1",Новостройка,1-комн. квартира,"41,03 ",Комендантский проспект,9 ,7 999 999 ,15.10
ЖК «Квартал Галактика»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, бул. Измайловский, 9",Новостройка,3-комн. квартира,"86,5 ",Фрунзенская,15 ,22 011 007 ,15.10
ЖК «Морская набережная»,"Санкт-Петербург, р-н Василеостровский, Остров Декабристов, Морская наб., 21к1",Новостройка,2-комн. квартира,61 ,Приморская,25 ,12 200 000 ,05.10
ЖК «Клубный дом Крестовский IV»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Крестовский просп., 4",Новостройка,4-комн. квартира,"254,7 ",Крестовский остров,12 ,231 000 000 ,06.09
ЖК «Наследие на Марата»,"Санкт-Петербург, р-н Адмиралтейский, Семёновский, Подъездной пер.",Новостройка Апартаменты,3-комн. апартаменты,82 ,Пушкинская,5 ,19 990 000 ,13.10
ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, Bereg Курортный жилой комплекс",Новостройка Апартаменты,1-комн. апартаменты,"40,19 ",Беговая,27 ,12 044 115 ,13.10
ЖК «БелАрт»,"Санкт-Петербург, р-н Калининский, Финляндский, Беларт жилой комплекс",Новостройка,2-комн. квартира,"53,79 ",Выборгская,20 ,12 580 000 ,13.10
ЖК «Шепилевский (Shepilevskiy)»,"Санкт-Петербург, р-н Московский, Звёздное, Алтайская ул., 39",Новостройка,Студия,"30,08 ",Московская,9 ,14 343 648 ,09.10
ЖК «WINGS апартаменты на Крыленко (Вингс апартаменты на Крыленко)»,"Санкт-Петербург, р-н Невский, № 54, ул. Крыленко, 14с2",Новостройка Апартаменты,1-комн. апартаменты,"38,32 ",Улица Дыбенко,5 ,5 900 000 ,10.10
ЖК «Сампсониевский 32»,"Санкт-Петербург, р-н Выборгский, Сампсониевское",Новостройка,2-комн. квартира,"59,2 ",Выборгская,10 ,18 979 520 ,15.10
ЖК «Живи! в Рыбацком»,"Санкт-Петербург, р-н Невский, Рыбацкое, Живи в Рыбацком жилой комплекс, к73",Новостройка,1-комн. квартира,"33,3 ",Обухово,9 ,5 700 000 ,15.10
ЖК «Сампсониевский 32»,"Санкт-Петербург, р-н Выборгский, Сампсониевское",Новостройка,3-комн. квартира,"78,33 ",Выборгская,10 ,24 893 274 ,15.10
ЖК «iD Park Pobedy (Ай ди Парк Победы)»,"Санкт-Петербург, р-н Московский, Московская застава, ул. Решетникова, 29",Новостройка,1-комн. квартира,"46,93 ",Электросила,17 ,13 890 000 ,13.10
ЖК «Akzent (Акцент)»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, ул. Помяловского",Новостройка,3-комн. квартира,"95,28 ",Новочеркасская,14 ,35 330 429 ,05.10
ЖК «Аэросити 2»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, просп. Старорусский, 9",Новостройка,Студия,"24,58 ",Купчино,10 ,3 590 000 ,13.10
"ЖК «Малоохтинский, 68»","Санкт-Петербург, р-н Красногвардейский, Малая Охта, Перевозный пер.",Новостройка,4-комн. квартира,"148,26 ",Новочеркасская,5 ,45 960 600 ,15.10
ЖК «Аквилон SKY (Аквилон Скай)»,"Санкт-Петербург, р-н Невский, Народный, Приневский жилой комплекс",Новостройка,Студия,"23,29 ",Пролетарская,10 ,3 850 000 ,14.10
ЖК «Маленькая Франция»,"Санкт-Петербург, р-н Василеостровский, № 7, 20-я Васильевского острова линия, 5",Новостройка,3-комн. квартира,"118,7 ",Василеостровская, откроется в 2024,50 512 073 ,15.10
ЖК «Дефанс Премиум»,"Санкт-Петербург, р-н Московский, Гагаринское, просп. Юрия Гагарина, 32В",Новостройка,3-комн. квартира,"116,72 ",Электросила,5 ,23 500 000 ,04.10
ЖК «GloraX Василеостровский»,"Санкт-Петербург, р-н Василеостровский, Морской, Невская Губа территория",Новостройка,1-комн. квартира,"38,99 ",Приморская,6 ,10 419 999 ,15.10
ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, ул. Инструментальщиков",Новостройка Апартаменты,Апартаменты-студия,"26,9 ",Беговая,27 ,6 699 999 ,06.10
"ЖК «Лисичанская, 22»","Санкт-Петербург, р-н Приморский, Чёрная речка, Старобельская ул.",Новостройка,Студия,"27,19 ",Черная речка,6 ,11 384 453 ,11.10
ЖК «Магеллан (Гавань Капитанов)»,"Санкт-Петербург, р-н Василеостровский, Гавань, ул. Вадима Шефнера, 4",Новостройка,Студия,"23,43 ",Приморская,6 ,5 390 000 ,15.10
ЖК «Лермонтовский 54»,"Санкт-Петербург, р-н Адмиралтейский, Измайловское, Лермонтовский 54 жилой комплекс",Новостройка,1-комн. квартира,"40,8 ",Балтийская,4 ,13 830 220 ,13.10
ЖК «Солнечный город»,"Санкт-Петербург, р-н Красносельский, Сосновая поляна, просп. Ветеранов, 183",Новостройка,1-комн. квартира,"37,67 ",Проспект Ветеранов,15 ,6 650 000 ,10.10
ЖК «Akzent (Акцент)»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, ул. Помяловского",Новостройка,2-комн. квартира,"87,24 ",Новочеркасская,14 ,29 667 268 ,14.10
ЖК «Чистое небо»,"Санкт-Петербург, р-н Приморский, Коломяги, Комендантский просп.",Новостройка,1-комн. квартира,35 ,Комендантский проспект,9 ,6 870 000 ,11.10
"ЖК «Малоохтинский, 68»","Санкт-Петербург, р-н Красногвардейский, Малая Охта, Перевозный пер.",Новостройка,1-комн. квартира,"39,41 ",Новочеркасская,5 ,15 941 345 ,15.10
ЖК «Морская набережная. SeaView»,"Санкт-Петербург, р-н Василеостровский, Гавань, наб. Миклухо-Маклая, 1к1",Новостройка,2-комн. квартира,"62,08 ",Горный институт,5 ,12 500 000 ,13.10
"ЖК «Большой, 67»","Санкт-Петербург, р-н Василеостровский, № 7, 20-я Васильевского острова линия, 19",Новостройка,1-комн. квартира,"64,44 ",Василеостровская,17 ,29 513 520 ,11.10
ЖК «Юнтолово»,"Санкт-Петербург, р-н Приморский, Лахта-Ольгино, ул. Ивинская, 7",Новостройка,2-комн. квартира,"37,3 ",Беговая,15 ,6 990 000 ,15.10
ЖК «Регенбоген»,"Санкт-Петербург, р-н Василеостровский, Васильевский, 7-я Васильевского острова линия, 84",Новостройка,4-комн. квартира,"109,71 ",Василеостровская,11 ,40 976 685 ,10.10
ЖК «Terra (Терра)»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Студенческая ул., 14к2",Новостройка,2-комн. квартира,"58,84 ",Черная речка,21 ,15 000 000 ,14.10
ЖК «Вольта»,"Санкт-Петербург, р-н Красногвардейский, Малая Охта, просп. Энергетиков, 6к2",Новостройка Апартаменты,Апартаменты-студия,"30,07 ",Ладожская,9 ,6 767 554 ,15.10
ЖК «Морская набережная. SeaView»,"Санкт-Петербург, р-н Василеостровский, Гавань, наб. Миклухо-Маклая, 1к1",Новостройка,2-комн. квартира,"67,58 ",Василеостровская,7 ,14 870 000 ,11.10
ЖК «Бакунина 33»,"Санкт-Петербург, р-н Центральный, Смольнинское, просп. Бакунина",Новостройка,Студия,"33,77 ",Площадь Александра Невского,12 ,14 413 164 ,15.10
ЖК «Морская миля»,"Санкт-Петербург, р-н Красносельский, Южно-Приморский, ул. Маршала Казакова, 68к1",Новостройка,Студия,"22,4 ",Автово,9 ,5 500 000 ,10.10
ЖК «Amo (Амо)»,"Санкт-Петербург, р-н Василеостровский, Васильевский, 12-я Васильевского острова линия, 41к1Ж",Новостройка,2-комн. квартира,"52,13 ",Василеостровская,8 ,26 575 665 ,05.10
ЖК «ЦДС Черная речка»,"Санкт-Петербург, р-н Приморский, Чёрная речка, Ланское муниципальный округ, Черная Речка жилой комплекс",Новостройка,1-комн. квартира,"33,7 ",,,9 950 000 ,15.10
ЖК «Amo (Амо)»,"Санкт-Петербург, р-н Василеостровский, Васильевский, 12-я Васильевского острова линия, 41к1Ж",Новостройка,3-комн. квартира,"77,14 ",Василеостровская,8 ,36 917 969 ,05.10
ЖК «Дефанс Бизнес»,"Санкт-Петербург, р-н Московский, Гагаринское, Дефанс жилой комплекс",Новостройка,2-комн. квартира,"75,57 ",Московская,20 ,18 300 000 ,30.09
ЖК «Маленькая Франция»,"Санкт-Петербург, р-н Василеостровский, № 7, 20-я Васильевского острова линия, 5",Новостройка,2-комн. квартира,"143,7 ",Василеостровская, откроется в 2024,61 913 145 ,12.10
ЖК «Familia (Фамилия)»,"Санкт-Петербург, р-н Петроградский, Петровский, Петровский просп., 22к2",Новостройка,1-комн. квартира,"37,32 ",Чкаловская,4 ,16 300 000 ,25.09
ЖК «Северная Корона»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Муниципальный округ Аптекарский остров, Северная Корона жилой комплекс",Новостройка,4-комн. квартира,"120,78 ",Петроградская,7 ,83 507 292 ,15.10
ЖК «Морская набережная. SeaView»,"Санкт-Петербург, р-н Василеостровский, Гавань, наб. Миклухо-Маклая, 1к1",Новостройка,1-комн. квартира,"42,37 ",Приморская,45 ,10 900 000 ,10.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,3-комн. квартира,"80,45 ",Зенит,5 ,20 789 999 ,10.10
ЖК «Морская набережная»,"Санкт-Петербург, р-н Василеостровский, Гавань, просп. Крузенштерна, 2",Новостройка,2-комн. квартира,"61,95 ",Приморская,4 ,13 900 000 ,12.10
ЖК «Северная Корона»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Муниципальный округ Аптекарский остров, Северная Корона жилой комплекс",Новостройка,4-комн. квартира,"120,78 ",Петроградская,7 ,83 507 292 ,15.10
ЖК «ЮгТаун. Олимпийские кварталы»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, ул. Нины Петровой",Новостройка,3-комн. квартира,"77,9 ",Московская,20 ,13 900 000 ,11.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,3-комн. квартира,"80,45 ",Зенит,5 ,20 789 999 ,10.10
ЖК «Комплекс апарт-отелей Valo Hotel City (Комплекс апарт-отелей Вало)»,"Санкт-Петербург, р-н Фрунзенский, Волковское, ул. Салова, 61",Новостройка Апартаменты,Апартаменты-студия,"31,89 ",Бухарестская,2 ,7 200 000 ,13.10
ЖК «Шепилевский (Shepilevskiy)»,"Санкт-Петербург, р-н Московский, Звёздное, Алтайская ул., 39",Новостройка,1-комн. квартира,"43,1 ",Московская,9 ,23 556 305 ,09.10
ЖК «Cube (Кьюб)»,"Санкт-Петербург, р-н Московский, Новоизмайловское, Кубинская ул.",Новостройка,Студия,"24,73 ",Московская,7 ,6 150 000 ,12.10
ЖК «Пулковский дом»,"Санкт-Петербург, р-н Пушкинский, мкр. Шушары, ул. Соколиная",Новостройка,Студия,"24,9 ",Купчино,20 ,5 092 228 ,10.10
ЖК «BEREG.Курортный (БЕРЕГ.Курортный)»,"Санкт-Петербург, р-н Курортный, мкр. Сестрорецк, ул. Инструментальщиков",Новостройка Апартаменты,1-комн. апартаменты,"36,31 ",,,12 500 000 ,29.09
ЖК «МФК Морская ривьера»,"Санкт-Петербург, р-н Курортный, мкр. Зеленогорск, Приморское ш., 570Л",Новостройка Апартаменты,Апартаменты-студия,"22,3 ",,,8 777 280 ,10.10
ЖК «Цветной Город»,"Санкт-Петербург, р-н Красногвардейский, Полюстрово, дор. Муринская, 27к2",Новостройка,Студия,21 ,Гражданский проспект,10 ,3 500 000 ,15.10
ЖК «Svetlana Park (Светлана Парк)»,"Санкт-Петербург, р-н Выборгский, Светлановское, Манчестерская ул., 5к1",Новостройка,Студия,"30,5 ",Удельная,5 ,11 803 500 ,14.10
ЖК «Svetlana Park (Светлана Парк)»,"Санкт-Петербург, р-н Выборгский, Светлановское, Дрезденская ул., 12",Новостройка,1-комн. квартира,"29,4 ",Удельная,11 ,10 500 000 ,14.10
ЖК «GloraX Premium Василеостровский (Глоракс Премиум Василеостровский)»,"Санкт-Петербург, р-н Василеостровский, Морской, Глоракс Премиум Василеостровский жилой комплекс",Новостройка,2-комн. квартира,"58,27 ",Приморская,10 ,14 949 999 ,15.10
ЖК «AVENUE APART на Дыбенко (Авеню Апарт)»,"Санкт-Петербург, р-н Невский, Оккервиль, Товарищеский просп.",Новостройка Апартаменты,Апартаменты-студия,24 ,Улица Дыбенко,17 ,3 640 000 ,13.10
ЖК «Alter (Альтер)»,"Санкт-Петербург, р-н Красногвардейский, Большая Охта, просп. Шаумяна, 14",Новостройка,1-комн. квартира,"40,9 ",Новочеркасская,9 ,16 171 482 ,12.10
ЖК «Amber Club (Эмбер Клаб)»,"Санкт-Петербург, р-н Василеостровский, Остров Декабристов, Уральская ул.",Новостройка,2-комн. квартира,"67,05 ",Приморская,18 ,30 720 000 ,09.10
"ЖК «Черная речка, 41»","Санкт-Петербург, р-н Приморский, Чёрная речка, Ланское муниципальный округ",Новостройка,1-комн. квартира,"44,14 ",Черная речка,8 ,18 415 208 ,13.10
ЖК «Cube (Кьюб)»,"Санкт-Петербург, р-н Московский, Новоизмайловское, Кубинская ул.",Новостройка,1-комн. квартира,"41,01 ",Ленинский проспект,10 ,9 100 000 ,15.10
ЖК «Клубный дом Крестовский IV»,"Санкт-Петербург, р-н Петроградский, Чкаловское, Крестовский просп., 4",Новостройка,3-комн. квартира,"325,2 ",Крестовский остров,12 ,198 000 000 ,06.09
ЖК «Комплекс апарт-отелей Valo Hotel City (Комплекс апарт-отелей Вало)»,"Санкт-Петербург, р-н Фрунзенский, Волковское, ул. Салова, 61",Новостройка Апартаменты,Апартаменты-студия,"31,89 ",Бухарестская,3 ,7 800 000 ,13.10
ЖК «17/33 Петровский остров»,"Санкт-Петербург, р-н Петроградский, Петровский, остров Петровский",Новостройка Апартаменты,Апартаменты-студия,"20,33 ",Чкаловская,19 ,7 689 823 ,15.10
ЖК «БелАрт»,"Санкт-Петербург, р-н Калининский, Финляндский, Полюстровский просп.",Новостройка,1-комн. квартира,"37,26 ",Лесная,25 ,10 090 000 ,12.10
