house,time,rooms amount,squares,price
1,0.2,4,0.28495231937934384,0.10988555940370426
1,0.044444444444444446,4,0.3574268627767901,0.16258846559253123
1,0.2,2,0.07483433004687248,0.05157356196355971
1,0.1111111111111111,2,0.10004848876676903,0.06851377804547508
1,0.2,3,0.19928883142072087,0.09860757039602469
1,0.24444444444444444,0,0.029998383707774367,0.009411233248004818
1,0.08888888888888889,0,0.041538710198803945,0.02275029363047734
1,0.2222222222222222,0,0.02666882172296752,0.005646739948802891
1,0.08888888888888889,2,0.06319702602230483,0.030446871706068364
1,0.3333333333333333,2,0.07460804913528367,0.0259750037644933
1,0.08888888888888889,3,0.14013253596250205,0.050231456106008134
1,0.15555555555555556,0,0.023824147405850978,0.010540581237765396
1,0.2222222222222222,2,0.12106028770001616,0.10289428549917182
1,0.044444444444444446,2,0.08226927428479068,0.051385333534106306
1,0.08888888888888889,4,0.23678681105543886,0.08574940144556542
1,0.2222222222222222,0,0.023985776628414418,0.005270290618882698
1,0.28888888888888886,0,0.07030871181509618,0.054760401294985696
1,0.13333333333333333,3,0.15047680620656215,0.051385333534106306
1,0.28888888888888886,2,0.10231129788265719,0.06023189278723084
1,0.17777777777777778,2,0.06833683529982222,0.010917030567685589
1,0.3333333333333333,0,0.05479230644900597,0.027789745520252974
1,0.2222222222222222,0,0.024341360918053986,0.006399638608643276
2,0.1111111111111111,1,0.04451268789397124,0.016300252221051047
1,0.26666666666666666,0,0.031194439954743823,0.005627917482306882
2,0.1111111111111111,1,0.03701309196702764,0.02333985845505195
1,0.2222222222222222,4,0.132988524325198,0.04005420870350851
1,0.1111111111111111,0,0.050751575884920005,0.02394217361843096
1,0.3111111111111111,2,0.06801357685469533,0.028120764945038398
1,0.2,2,0.11847422013900114,0.07976961301008884
1,0.13333333333333333,3,0.16308388556651043,0.05232269236560759
1,0.3333333333333333,2,0.06642961047357362,0.03180996837825629
2,0.17777777777777778,1,0.013253596250202037,0.01449329920192742
1,0.24444444444444444,3,0.2021981574268628,0.17279024243336846
1,0.08888888888888889,3,0.08679489251656701,0.03237464237313658
1,0.2222222222222222,2,0.0737029254889284,0.046203508507754856
1,0.37777777777777777,3,0.1404557944076289,0.04780906489986448
1,0.3111111111111111,2,0.1145627929529659,0.0636155285348592
1,0.7333333333333333,3,0.1479553903345725,0.03462957385935853
1,0.28888888888888886,3,0.20801680943914666,0.08545399789188375
2,,9,0.14708259253272993,0.019575361391356724
1,0.3333333333333333,3,0.12623242282204622,0.05054401069116097
1,0.2222222222222222,3,0.1711653466946824,0.06663153139587412
1,0.26666666666666666,4,0.3790205269112656,0.2410108304472218
1,0.28888888888888886,0,0.046937126232422834,0.01694021984640867
1,0.28888888888888886,5,0.36027153709390664,0.2171981328113236
1,0.4444444444444444,5,0.22382414740585102,0.0779250112934799
1,0.17777777777777778,2,0.07696783578470986,0.050038706520102394
1,0.3333333333333333,3,0.16162922256343948,0.04592681825026351
1,0.2222222222222222,5,0.2778406335865525,0.1699292237614817
1,0.28888888888888886,2,0.05754000323258445,0.02221051046529137
1,0.08888888888888889,0,0.017294326814288025,0.020917523716307784
1,0.13333333333333333,2,0.07176337481816712,0.01599909652160819
2,0.6,1,0.03145304671084532,0.023918848817949104
1,0.08888888888888889,3,0.13722320995636011,0.026727898659840387
1,0.1111111111111111,2,0.07001777921448198,0.03196054434573106
1,0.2,2,0.057055115564894135,0.014380364402951363
1,0.13333333333333333,0,0.03371585582673348,0.020064745520252975
1,0.4,3,0.12041377080976241,0.035009783918084625
2,0.1111111111111111,7,0.09843219654113464,0.030341812227074237
1,0.1111111111111111,3,0.16437691934701795,0.0830070772474025
1,0.28888888888888886,4,0.295296589623404,0.14510769462430356
2,0.15555555555555556,1,0.022660417003394214,0.0005646739948802891
1,0.1111111111111111,0,0.031840956844997576,0.01362995407318175
1,0.4,2,0.060287700016162925,0.013928625207047131
2,0.15555555555555556,1,0.05996444157103604,0.02221051046529137
1,0.2,2,0.08139647648294812,0.019575361391356724
1,0.3333333333333333,4,0.22838209148214,0.07231970712242132
1,0.5555555555555556,3,0.14595118797478585,0.035386237012498115
1,0.26666666666666666,5,0.7721027961855504,0.8590573708778798
2,0.1111111111111111,9,0.21383546145143045,0.06471163981328114
2,0.6,7,0.07868110554388233,0.034799408974552026
1,0.4444444444444444,3,0.12264425408113788,0.03681674446619485
1,0.2,0,0.045999676741554876,0.04345598554434573
2,0.1111111111111111,7,0.0726361726200097,0.011669929227525975
1,0.2222222222222222,3,0.14013253596250205,0.060907694624303566
1,0.2,2,0.05640859867464037,0.010917030567685589
1,0.2222222222222222,4,0.20197187651527398,0.08316998193043217
1,0.37777777777777777,2,0.10046872474543397,0.041748230688149375
1,0.3111111111111111,4,0.25676418296428,0.12246058199066405
1,0.2222222222222222,0,0.02822046225957653,0.002973949706369523
1,0.1111111111111111,5,0.42802650719250046,0.1624777894895347
1,0.2222222222222222,0,0.024050428317439795,0.003952717964162024
1,0.0,4,0.3324713108129951,0.17961177909953321
1,0.1111111111111111,4,0.3260707935994828,0.0779250112934799
1,0.13333333333333333,2,0.0748020042023598,0.028685435175425388
2,0.6,1,0.035720058186520125,0.014681520102394218
1,0.13333333333333333,0,0.03665750767738808,0.032316115795813886
1,0.13333333333333333,0,0.024502990140617426,0.009750037644932992
1,0.08888888888888889,2,0.08065298205915629,0.04152318927872308
1,0.3333333333333333,2,0.070534992726685,0.01449329920192742
1,0.3111111111111111,3,0.2307742039760789,0.10114165035386237
1,0.2,2,0.061903992241797316,0.015321487727751845
